Symbol,P/E,EV/Sales,ROE,EPS,Current Ratio,Debt/Equity,Beta,Dividend Yield,Revenue Growth,EV/EBITDA,Profit Margin,Gross Margin
AAPL,34.249683,9.161,1.5202099,7.89,0.974,102.63,1.109,0.38,0.157,26.101,0.27037,0.47325
NVDA,41.15918,22.459,1.01485,4.9,3.905,7.255,2.335,0.02,0.732,36.401,0.55603004,0.71068
MSFT,26.457449,10.389,0.34390998,15.98,1.386,31.539,1.107,0.86,0.167,18.106,0.39044,0.68586
AMZN,34.945606,3.829,0.22286,7.17,1.051,43.435,1.383,,0.136,18.838,0.108339995,0.50286
GOOGL,31.637035,10.112,0.35705003,10.8,2.005,16.133,1.128,0.25,0.18,27.125,0.32810003,0.59652
GOOG,31.338873,10.043,0.35705003,10.83,2.005,16.133,1.128,0.25,0.18,26.941,0.32810003,0.59652
META,29.324957,8.684,0.30238,23.48,2.599,39.164,1.309,0.3,0.238,17.128,0.30084,0.81999
TSLA,370.94443,15.551,0.049250003,1.08,2.164,17.763,1.915,,-0.031,140.406,0.040009998,0.18027
AVGO,79.40234,28.949,0.33370999,5.12,1.902,82.704,1.253,0.64,0.295,53.112,0.36571997,0.76725996
BRK-B,15.289303,-0.633,0.09809,31.04,7.067,18.809,0.699,,-0.007,-2.125,0.18029,0.26146
WMT,46.703297,1.515,0.21847,2.73,0.79,64.443,0.661,0.78,0.056,24.547,0.0307,0.24927
LLY,40.323185,13.268,1.01159,22.99,1.579,165.31,0.504,0.67,0.426,27.288,0.31667,0.83044
JPM,14.860633,1.723,0.16465001,20.88,,,1.043,1.93,0.127,,0.33936,0.0
V,29.767136,14.729,0.53954,10.65,1.111,54.612,0.799,0.85,0.146,21.032,0.50233,0.97777003
MA,31.536598,14.45,2.09915,16.53,1.035,256.042,0.831,0.67,0.176,23.065,0.45646998,1.0
ORCL,31.429083,9.864,0.57572,5.57,1.347,415.265,1.597,1.14,0.217,23.032,0.25298,0.67084
XOM,21.824142,2.029,0.110810004,6.71,1.153,18.936,0.288,2.81,-0.013,11.067,0.089049995,0.31049
UNH,24.518883,0.798,0.12538,13.24,0.788,81.618,0.408,2.72,0.123,16.515,0.02694,0.18526
COST,52.077602,1.543,0.29650998,19.2,1.058,60.257,0.978,0.59,0.215,32.815,0.029860001,0.12926
PG,21.799704,4.32,0.31562,6.74,0.724,68.719,0.403,2.9,0.015,14.873,0.19299999,0.51189
HD,24.571026,2.505,1.45541,14.22,1.061,514.392,1.085,2.67,-0.038,16.494,0.08596,0.33316
NFLX,31.491909,8.838,0.48494998,3.09,1.407,53.788,1.669,,0.162,29.002,0.28521,0.49029
JNJ,21.231188,6.16,,11.03,,60.499,0.329,2.29,0.099,17.405,0.21834,0.67997
BAC,13.410448,1.316,0.10644,4.02,,,1.237,2.08,0.118,,0.28956,0.0
CRM,23.351282,4.245,0.123959996,7.8,0.76,29.947,1.288,0.97,0.121,14.047,0.17958,0.77676004
ABBV,87.55462,7.057,62.25,2.38,0.671,,0.364,3.32,0.1,14.755,0.0691,0.71620005
KO,24.914473,7.508,0.43323,3.04,1.459,139.793,0.361,2.72,0.024,22.388,0.2734,0.61626
TMUS,20.31552,3.803,0.18177,9.73,0.998,208.851,0.422,2.06,0.113,10.233,0.124469995,0.63165003
CVX,27.793053,2.238,0.07231,6.62,1.155,24.323,0.587,3.87,-0.082,10.983,0.06661,0.41896
MRK,16.355768,5.082,0.36882,7.28,1.536,95.959,0.275,2.86,0.05,11.352,0.28078,0.77212
WFC,12.58269,1.297,0.12028,6.47,,,1.056,2.21,0.057,,0.26742,0.0
CSCO,31.02518,6.039,0.23754999,2.78,0.955,66.509,0.819,1.95,0.097,21.892,0.18756,0.64814
ACN,16.200819,1.69,0.24763,12.2,1.336,25.469,1.236,3.3,0.083,9.568,0.10606,0.32026002
NOW,57.88024,7.322,0.15488,1.67,1.003,18.536,1.005,,0.207,35.51,0.13165,0.77533996
